"estimate","region","date","pop","gdp","lifeex","pov_intl"
"SD","Latin America & Caribbean",1999,460257200,3953.39186008893,2.93377808503071,0.0867479227561975
"SD","Latin America & Caribbean",2000,467344965,4134.65867051592,2.96801825969135,0.0861582382727305
"SD","Latin America & Caribbean",2001,474284993,4033.04187329983,2.89789697596022,0.0881899385645176
"SD","Latin America & Caribbean",2002,481071467,3922.45046807201,2.92994406058595,0.0845007522875053
"SD","Latin America & Caribbean",2003,487664429,3923.56373632938,2.85106483574603,0.0844427509226953
"SD","Latin America & Caribbean",2004,494146032,4042.36644661943,2.90910484601659,0.0847155938880041
"SD","Latin America & Caribbean",2005,500549213,4066.74139607068,2.70040868603313,0.083446005051785
"SD","Latin America & Caribbean",2006,506806920,4204.89778790968,2.61283395132912,0.083349893058383
"SD","Latin America & Caribbean",2007,512946835,4220.57114567105,2.49336978259893,0.0799118406933898
"SD","Latin America & Caribbean",2008,518957147,4193.97369577025,2.46736877606187,0.0780044584334399
"SD","Latin America & Caribbean",2009,524891569,3881.34510650932,2.41693542401162,0.0746121970833696
"SD","Latin America & Caribbean",2010,530914933,4087.94354784707,4.11836256414616,0.0766416218212621
"SD","Latin America & Caribbean",2011,537094357,4192.01510730185,2.44810818764021,0.0752687977577133
"SD","Latin America & Caribbean",2012,543267278,4342.48537001915,2.39288076494385,0.0398577339932954
"SD","Latin America & Caribbean",2013,549311259,4347.41995393861,2.38785794039323,0.0385166032030647
"SD","Latin America & Caribbean",2014,555278923,4388.56143285328,2.37159234646718,0.0384934424782242
"SD","Latin America & Caribbean",2015,530665237,4470.04717945353,2.42221614064948,0.0369013624198052
"SD","Latin America & Caribbean",2016,536320446,4556.72537738832,2.4292549848969,0.035844018499595
"SD","Latin America & Caribbean",2017,542244262,4597.14184345049,2.42896821291448,0.0347488148670924
"SD","Latin America & Caribbean",2018,548490083,4683.79216487012,2.42387657679422,0.0347719433912205
"SD","Latin America & Caribbean",2019,554565970,4638.54847202775,2.40858464851588,0.035884996116579
"SD","Latin America & Caribbean",2020,559765508,4156.91622986631,2.81543942501964,0.0431801778963199
"SD","Latin America & Caribbean",2021,564124917,4463.15889304465,2.59371531575132,0.038118420207154
"SD","Middle East & North Africa",1990,231523697,9770.82372094276,3.6271073875084,0.0313132059248436
"SD","Middle East & North Africa",1991,238222973,9599.29039491578,3.30457840246698,0.0418550989597452
"SD","Middle East & North Africa",1992,244294458,9508.63157519971,3.08919806225801,0.0229089781190454
"SD","Middle East & North Africa",1993,249720886,9246.10842471489,3.03791319092164,0.0259866677595939
"SD","Middle East & North Africa",1994,255026070,9491.8009377967,3.05173799563025,0.0238399386731351
"SD","Middle East & North Africa",1995,260577063,10114.1164102196,2.95638114629188,0.0264599733892975
"SD","Middle East & North Africa",1996,266060592,10291.7114862326,3.00775802593284,0.0257220835114053
"SD","Middle East & North Africa",1997,271629235,10604.9917152674,2.97450125210042,0.0285523823102036
"SD","Middle East & North Africa",1998,277235328,10154.957642702,2.98931364237662,0.0286802545587123
"SD","Middle East & North Africa",1999,282909004,10001.5005214058,2.97448615301819,0.0293358359385301
"SD","Middle East & North Africa",2000,288698740,10680.1278662291,2.92986854110475,0.0281367746615174
"SD","Middle East & North Africa",2001,294554395,10386.749340267,2.91357669311559,0.0281838844994729
"SD","Middle East & North Africa",2002,300008291,10274.6500799552,2.89027919208467,0.0281209412216666
"SD","Middle East & North Africa",2003,305461979,10903.8330221868,3.02355275520076,0.0266456625747342
"SD","Middle East & North Africa",2004,311461824,11425.2796625318,3.22011861871797,0.0283795434874437
"SD","Middle East & North Africa",2005,317725514,11438.5805098994,3.26985118568348,0.027928542482024
"SD","Middle East & North Africa",2006,324367659,11545.6428146253,3.52529273131013,0.028248559184033
"SD","Middle East & North Africa",2007,331442663,10738.2844570729,3.5800936749736,0.0289464149342566
"SD","Middle East & North Africa",2008,338771798,9906.10085794943,3.34910456867079,0.0290520748901878
